date,total_cases,new_cases,total_deaths
4-Mar,,,
5-Mar,,,
6-Mar,,,
7-Mar,,,
8-Mar,,,
9-Mar,3,3,0
10-Mar,,,
11-Mar,,,
12-Mar,,,
13-Mar,,,
14-Mar,,,
15-Mar,3,0,0
16-Mar,,,
17-Mar,5,2,0
18-Mar,8,3,0
19-Mar,10,2,0
20-Mar,10,0,0
21-Mar,17,7,0
22-Mar,24,7,2
23-Mar,27,3,3
24-Mar,33,6,3
25-Mar,39,6,4
26-Mar,39,0,5
27-Mar,48,9,5
28-Mar,48,0,5
29-Mar,48,0,5
30-Mar,49,1,5
31-Mar,49,0,5
1-Apr,51,2,5
2-Apr,54,3,6
3-Apr,56,2,6
4-Apr,61,5,6
5-Apr,70,9,8
6-Apr,88,18,9
7-Apr,123,35,12
8-Apr,164,41,17
9-Apr,218,54,20
10-Apr,330,112,21
11-Apr,424,94,27
12-Apr,482,58,30
13-Apr,621,139,34
14-Apr,803,182,39
15-Apr,1012,209,46
16-Apr,1231,219,50
17-Apr,1572,341,60
18-Apr,1838,266,75
19-Apr,2144,306,84
20-Apr,2456,312,91
21-Apr,2948,492,101
22-Apr,3382,434,110
23-Apr,3772,390,120
24-Apr,4186,414,127
25-Apr,4689,503,131
26-Apr,4998,309,140
27-Apr,5416,418,145
28-Apr,5913,497,152
29-Apr,6462,549,155
30-Apr,7103,641,163
1-May,7667,564,168
2-May,8238,571,170
3-May,8790,552,175
4-May,9455,665,177
5-May,10143,688,182
6-May,10929,786,183
7-May,11719,790,186
8-May,12425,706,199
9-May,13134,709,206
10-May,13770,636,214
11-May,14657,887,228
12-May,15691,1034,239
13-May,16660,969,250
14-May,17822,1162,269
15-May,18863,1041,283
16-May,20065,1202,298
17-May,20995,930,314
18-May,22268,1273,328
19-May,23870,1602,349
20-May,25121,1251,370
21-May,26738,1617,386
22-May,28511,1773,408
23-May,30205,1694,432
24-May,32078,1873,452
25-May,33610,1532,480
26-May,35585,1975,501
27-May,36751,1166,522
28-May,38292,1541,544
29-May,40321,2029,559
30-May,42844,2523,582
31-May,44608,1764,610
1-Jun,47153,2545,650
2-Jun,49534,2381,672
3-Jun,52445,2911,709
4-Jun,55140,2695,746
5-Jun,57563,2423,781
6-Jun,60391,2828,811
7-Jun,63026,2635,846
8-Jun,65769,2743,888
9-Jun,68504,2735,930
10-Jun,71675,3171,975
11-Jun,74865,3190,1012
12-Jun,78052,3187,1049
13-Jun,81523,3471,1095
14-Jun,84379,2856,1139
15-Jun,87520,3141,1171
16-Jun,90619,3099,1209
17-Jun,94481,3862,1262
18-Jun,98489,4008,1305
19-Jun,102292,3803,1343
20-Jun,105535,3243,1388
21-Jun,108775,3240,1425
22-Jun,112306,3531,1464
23-Jun,115786,3480,1502
24-Jun,119198,3412,1545
25-Jun,122660,3462,1582
26-Jun,126606,3946,1621
27-Jun,130474,3868,1661
28-Jun,133978,3504,1695
29-Jun,137787,3809,1738
30-Jun,141801,4014,1783
1-Jul,145483,3682,1847
2-Jul,149258,3775,1888
3-Jul,153277,4019,1926
4-Jul,156391,3114,1968
5-Jul,159679,3288,1997
6-Jul,162417,2738,2052
7-Jul,165618,3201,2096
8-Jul,168645,3027,2151
9-Jul,172134,3489,2197
10-Jul,175494,3360,2238
11-Jul,178443,2949,2275
12-Jul,181129,2686,2305
13-Jul,183795,2666,2352
14-Jul,186894,3099,2391
15-Jul,190057,3163,2424
